movie_id,release_year,genres
1,1995,Adventure
1,1995,Animation
1,1995,Children
1,1995,Comedy
1,1995,Fantasy
2,1995,Adventure
2,1995,Children
2,1995,Fantasy
3,1995,Comedy
3,1995,Romance
4,1995,Comedy
4,1995,Drama
4,1995,Romance
5,1995,Comedy
6,1995,Action
6,1995,Crime
6,1995,Thriller
7,1995,Comedy
7,1995,Romance
8,1995,Adventure
8,1995,Children
9,1995,Action
10,1995,Action
10,1995,Adventure
10,1995,Thriller
11,1995,Comedy
11,1995,Drama
11,1995,Romance
12,1995,Comedy
12,1995,Horror
13,1995,Animation
13,1995,Children
14,1995,Drama
15,1995,Action
15,1995,Adventure
15,1995,Romance
16,1995,Crime
16,1995,Drama
17,1995,Comedy
17,1995,Drama
17,1995,Romance
18,1995,Comedy
18,1995,Drama
18,1995,Thriller
19,1995,Comedy
20,1995,Action
20,1995,Comedy
20,1995,Crime
20,1995,Drama
20,1995,Thriller
21,1995,Action
21,1995,Comedy
21,1995,Drama
22,1995,Crime
22,1995,Drama
22,1995,Horror
22,1995,Mystery
22,1995,Thriller
23,1995,Action
23,1995,Crime
23,1995,Thriller
24,1995,Drama
24,1995,Sci-Fi
25,1995,Drama
25,1995,Romance
26,1995,Drama
27,1995,Drama
28,1995,Drama
28,1995,Romance
29,1995,Adventure
29,1995,Drama
29,1995,Fantasy
29,1995,Mystery
29,1995,Sci-Fi
30,1995,Crime
30,1995,Drama
31,1995,Drama
32,1995,Sci-Fi
32,1995,Thriller
33,1995,Adventure
33,1995,IMAX
33,1995,Romance
34,1995,Children
34,1995,Comedy
34,1995,Drama
34,1995,Fantasy
35,1995,Drama
35,1995,Romance
36,1995,Crime
36,1995,Drama
37,1995,Documentary
37,1995,IMAX
38,1995,Comedy
39,1995,Comedy
39,1995,Romance
40,1995,Drama
41,1995,Drama
41,1995,War
42,1995,Action
42,1995,Crime
42,1995,Drama
43,1995,Drama
44,1995,Action
44,1995,Adventure
44,1995,Fantasy
45,1995,Comedy
45,1995,Drama
45,1995,Thriller
46,1995,Drama
46,1995,Romance
47,1995,Crime
47,1995,Horror
47,1995,Mystery
47,1995,Thriller
48,1995,Animation
48,1995,Children
48,1995,Musical
48,1995,Romance
49,1995,Drama
49,1995,Romance
50,1995,Crime
50,1995,Mystery
50,1995,Thriller
51,1994,Action
51,1994,Drama
51,1994,Thriller
52,1995,Comedy
52,1995,Drama
52,1995,Romance
53,1994,Adventure
53,1994,Drama
54,1995,Children
54,1995,Comedy
55,1995,Drama
56,1995,Adventure
56,1995,Children
56,1995,Fantasy
57,1995,Drama
58,1994,Comedy
58,1994,Drama
58,1994,Romance
59,1995,Drama
59,1995,Mystery
60,1995,Adventure
60,1995,Children
60,1995,Fantasy
61,1996,Drama
61,1996,Thriller
62,1995,Drama
63,1996,Comedy
63,1996,Crime
64,1996,Comedy
64,1996,Romance
65,1996,Comedy
66,1996,Action
66,1996,Sci-Fi
66,1996,Thriller
67,1995,Drama
68,1995,Comedy
68,1995,Romance
69,1995,Comedy
70,1996,Action
70,1996,Comedy
70,1996,Horror
70,1996,Thriller
71,1995,Action
72,1995,Comedy
72,1995,Drama
73,1995,Drama
73,1995,War
74,1996,Drama
74,1996,Romance
75,1996,Comedy
75,1996,Drama
76,1995,Action
76,1995,Sci-Fi
76,1995,Thriller
77,1995,Documentary
78,1995,Drama
79,1996,Drama
79,1996,Thriller
80,1995,Children
80,1995,Drama
81,1995,Crime
81,1995,Drama
81,1995,Romance
82,1995,Comedy
82,1995,Drama
83,1995,Drama
84,1995,Comedy
84,1995,Drama
85,1995,Drama
85,1995,Romance
86,1996,Adventure
86,1996,Drama
87,1996,Children
87,1996,Comedy
88,1996,Comedy
89,1995,Action
89,1995,Thriller
90,1995,Drama
92,1996,Drama
92,1996,Horror
92,1996,Thriller
93,1995,Comedy
93,1995,Romance
94,1996,Comedy
94,1996,Drama
94,1996,Romance
95,1996,Action
95,1996,Adventure
95,1996,Thriller
96,1995,Comedy
96,1995,Drama
97,1995,Drama
98,1994,Action
98,1994,Thriller
99,1995,Documentary
100,1996,Drama
100,1996,Thriller
101,1996,Adventure
101,1996,Comedy
101,1996,Crime
101,1996,Romance
102,1996,Comedy
103,1996,Mystery
103,1996,Sci-Fi
103,1996,Thriller
104,1996,Comedy
105,1995,Drama
105,1995,Romance
106,1994,Comedy
106,1994,Drama
107,1996,Adventure
107,1996,Children
107,1996,Comedy
107,1996,Musical
108,1996,Documentary
109,1995,Comedy
110,1995,Action
110,1995,Drama
110,1995,War
111,1976,Crime
111,1976,Drama
111,1976,Thriller
112,1995,Action
112,1995,Adventure
112,1995,Comedy
112,1995,Crime
113,1996,Drama
113,1996,Mystery
114,1995,Drama
115,1995,Comedy
116,1995,Documentary
117,1995,Crime
117,1995,Drama
118,1996,Comedy
118,1996,Romance
119,1995,Comedy
120,1996,Drama
121,1992,Drama
122,1992,Comedy
122,1992,Romance
123,1994,Drama
123,1994,Mystery
123,1994,Romance
124,1995,Drama
125,1996,Comedy
126,1994,Adventure
126,1994,Children
126,1994,Fantasy
127,1994,Drama
128,1994,Documentary
129,1996,Comedy
129,1996,Romance
130,1995,Drama
131,1995,Drama
131,1995,Romance
132,1995,Thriller
133,1995,Comedy
